2  12164.1	1.901864e+00	1.324253e-01	2.187361e+00	8.844555e-01	1.003702e-01	5.968452e-01	1.360220e+01	6.129006e+01	8.551554e-01	4.048697e-01	
3  10350.2	1.693185e+00	1.086801e-01	2.171333e+00	8.853961e-01	9.027827e-02	6.077688e-01	1.282765e+01	5.659062e+01	7.592465e-01	3.942427e-01	
2  10305.3	2.030693e+00	1.224366e-01	2.154306e+00	8.801484e-01	1.035235e-01	6.080351e-01	1.301120e+01	6.034685e+01	7.990078e-01	3.937338e-01	
75  7059.75	1.965746e+00	1.262370e-01	2.232095e+00	8.736061e-01	5.809204e-02	5.958133e-01	8.885757e+00	6.007979e+01	8.294272e-01	4.059714e-01	
4  6927.85	2.200967e+00	1.401610e-01	2.296986e+00	8.762517e-01	6.980349e-02	5.795103e-01	9.708389e+00	6.210241e+01	8.848624e-01	4.221601e-01	
18  6900.71	2.242029e+00	1.391150e-01	2.329961e+00	8.584119e-01	5.245831e-02	5.640159e-01	7.777451e+00	6.086931e+01	8.747293e-01	4.377228e-01	
60  6827.44	2.355110e+00	1.415927e-01	2.327758e+00	8.583302e-01	5.911910e-02	5.824879e-01	8.261063e+00	6.289217e+01	8.832617e-01	4.191408e-01	
557  6725.38	2.353663e+00	1.367353e-01	2.224595e+00	8.602099e-01	4.423465e-02	5.784738e-01	6.612289e+00	6.166185e+01	8.429473e-01	4.232205e-01	
283  6687.58	2.463610e+00	1.421719e-01	2.273756e+00	8.699728e-01	4.893177e-02	5.647814e-01	6.984299e+00	6.190912e+01	8.679733e-01	4.368994e-01	
371  6616.19	2.268570e+00	1.429359e-01	2.230994e+00	8.661473e-01	3.768787e-02	5.515626e-01	6.097092e+00	6.077257e+01	8.689759e-01	4.501816e-01	
31  6566.44	2.121308e+00	1.362574e-01	2.121717e+00	8.786042e-01	1.941438e-02	5.700010e-01	3.806953e+00	6.051540e+01	8.369742e-01	4.317581e-01	
80  6563.16	2.386099e+00	1.411776e-01	2.124496e+00	8.789921e-01	1.471340e-02	5.845000e-01	2.840431e+00	6.302419e+01	8.471165e-01	4.171218e-01	
