4  6078.75	2.239279e+00	1.201355e-01	2.153760e+00	9.663952e-01	7.137559e-02	-9.779434e-01	-1.324747e+00	6.900840e-01	9.320938e+00	6.781544e+01	8.483036e-01	
1  6029.66	2.247660e+00	1.191197e-01	2.177941e+00	9.636082e-01	7.618080e-02	-9.199077e-01	-1.294481e+00	6.910170e-01	9.726639e+00	6.769532e+01	8.389260e-01	
638  5990.63	2.251324e+00	1.201062e-01	2.187735e+00	9.689680e-01	7.427018e-02	-8.531588e-01	-1.321663e+00	6.850230e-01	9.569412e+00	6.728991e+01	8.388042e-01	
399  5991.07	2.242727e+00	1.182077e-01	2.195325e+00	9.700708e-01	7.694231e-02	-7.946448e-01	-1.310806e+00	6.850777e-01	9.801041e+00	6.682591e+01	8.237565e-01	
212  5993.31	2.247128e+00	1.190937e-01	2.159051e+00	9.655741e-01	6.840773e-02	-8.522407e-01	-1.313175e+00	6.877186e-01	9.014206e+00	6.732941e+01	8.277236e-01	
7  5992.97	2.235106e+00	1.187382e-01	2.216112e+00	9.655663e-01	8.139478e-02	-8.746989e-01	-1.303889e+00	6.921470e-01	1.023026e+01	6.769792e+01	8.411676e-01	
245  5992.1	2.231020e+00	1.182456e-01	2.228441e+00	9.675943e-01	8.372704e-02	-8.668515e-01	-1.268044e+00	6.961955e-01	1.044363e+01	6.801854e+01	8.404051e-01	
128  5992.27	2.235815e+00	1.186348e-01	2.203292e+00	9.678363e-01	7.729219e-02	-8.555775e-01	-1.204580e+00	6.873537e-01	9.865265e+00	6.715401e+01	8.298939e-01	
43  5989.86	2.242185e+00	1.184809e-01	2.207965e+00	9.699819e-01	8.099911e-02	-8.972238e-01	-1.208195e+00	6.931266e-01	1.017270e+01	6.776106e+01	8.374990e-01	
816  5989.69	2.232993e+00	1.192995e-01	2.148887e+00	9.658097e-01	6.474361e-02	-9.137426e-01	-1.224096e+00	6.939051e-01	8.708176e+00	6.802190e+01	8.326738e-01	
1175  5989.5	2.236351e+00	1.191744e-01	2.154684e+00	9.683605e-01	6.792311e-02	-9.649278e-01	-1.235841e+00	7.034211e-01	8.997360e+00	6.908222e+01	8.435048e-01	
