17  5990.23	2.233848e+00	1.201955e-01	2.212521e+00	9.716094e-01	8.019277e-02	-1.110956e+00	-1.020349e-01	-3.952436e+00	6.960363e-01	1.015726e+01	6.847756e+01	8.492340e-01	3.053375e-01	
9  5990.8	2.235628e+00	1.202955e-01	2.149840e+00	9.730265e-01	6.667607e-02	-1.223920e+00	2.136248e-01	-4.003013e+00	6.987532e-01	8.898392e+00	6.881409e+01	8.417513e-01	3.026072e-01	
1  5990.98	2.224377e+00	1.219007e-01	2.196434e+00	9.675866e-01	7.477076e-02	-1.206391e+00	-1.639485e-01	-3.746734e+00	6.923681e-01	9.723480e+00	6.845155e+01	8.593216e-01	3.090068e-01	
16  5991.1	2.251143e+00	1.212071e-01	2.207971e+00	9.683797e-01	7.838321e-02	-1.218643e+00	9.203307e-02	-3.726427e+00	6.920568e-01	9.967743e+00	6.831579e+01	8.516224e-01	3.093235e-01	
7  5990.6	2.239582e+00	1.214462e-01	2.162288e+00	9.641007e-01	6.686148e-02	-1.084401e+00	-9.535331e-01	-2.786380e+00	6.890067e-01	8.929977e+00	6.800915e+01	8.423112e-01	3.123861e-01	
8  5991.06	2.261535e+00	1.212544e-01	2.205621e+00	9.659562e-01	7.671592e-02	-1.122117e+00	-1.093189e+00	-2.286676e+00	6.932332e-01	9.792618e+00	6.848265e+01	8.495007e-01	3.081404e-01	
3  5991.29	2.240969e+00	1.219006e-01	2.164009e+00	9.613615e-01	6.629271e-02	-9.977156e-01	-1.442663e+00	-2.685092e+00	6.886220e-01	8.877335e+00	6.807767e+01	8.463510e-01	3.127680e-01	
1  5991.26	2.235235e+00	1.231898e-01	2.207222e+00	9.603224e-01	7.488552e-02	-9.879722e-01	-1.695123e+00	-2.451010e+00	6.855702e-01	9.731903e+00	6.803503e+01	8.619480e-01	3.158215e-01	
7  5991.63	2.233907e+00	1.218001e-01	2.214175e+00	9.665721e-01	7.915101e-02	-8.943568e-01	-1.740588e+00	-2.279569e+00	6.807482e-01	1.010110e+01	6.719306e+01	8.477903e-01	3.206786e-01	
2  5991.15	2.239829e+00	1.217953e-01	2.163639e+00	9.649591e-01	6.676583e-02	-1.042644e+00	-9.426249e-01	-3.001294e+00	6.853569e-01	8.925064e+00	6.769614e+01	8.426058e-01	3.160488e-01	
4  5990.27	2.233209e+00	1.214877e-01	2.171206e+00	9.650919e-01	6.837211e-02	-1.052799e+00	-4.368096e-01	-3.568139e+00	6.830806e-01	9.090012e+00	6.736510e+01	8.391366e-01	3.183390e-01	
6  5990.15	2.232256e+00	1.202787e-01	2.208257e+00	9.667535e-01	7.843012e-02	-9.166882e-01	-1.111909e+00	-2.874667e+00	6.817163e-01	1.000565e+01	6.693518e+01	8.350442e-01	3.197216e-01	
10  5988.85	2.227919e+00	1.214258e-01	2.250727e+00	9.649741e-01	8.646148e-02	-1.056768e+00	-8.351266e-01	-3.094413e+00	6.883269e-01	1.076511e+01	6.790257e+01	8.592247e-01	3.130703e-01	
8  5992.03	2.203709e+00	1.207026e-01	2.248012e+00	9.694840e-01	8.793929e-02	-1.065930e+00	-3.201296e-01	-3.641452e+00	6.852714e-01	1.095462e+01	6.734483e+01	8.531764e-01	3.161490e-01	
1  5992.95	2.209691e+00	1.201051e-01	2.330217e+00	9.724688e-01	1.070927e-01	-9.981280e-01	-3.234817e-01	-3.956978e+00	6.853522e-01	1.255356e+01	6.722650e+01	8.645731e-01	3.160732e-01	
