4  1e+30	6.773264e+01	2.275893e+00	1.162584e-01	-4.454777e-01	-5.766445e-01	1.508946e-01	1.000000e+00	
13  917.539	6.737260e+01	2.278100e+00	1.202988e-01	-6.399879e-02	-7.057713e-01	-4.339722e-02	3.152185e-01	
5  884.229	6.761696e+01	2.311865e+00	1.209221e-01	2.065360e-01	-7.923633e-01	-2.018846e-01	3.150462e-01	
12  806.261	6.857853e+01	2.306176e+00	1.224378e-01	2.189007e-01	-8.562196e-01	-2.610261e-01	3.093750e-01	
2  795.465	6.865591e+01	2.270443e+00	1.199453e-01	7.802613e-02	-1.533395e+00	-4.460461e-01	3.026323e-01	
9  752.388	6.912993e+01	2.272514e+00	1.133593e-01	5.624949e-01	-1.402910e+00	-3.226297e-01	2.847581e-01	
12  726.381	6.925456e+01	2.269380e+00	1.124535e-01	9.637242e-01	-1.920389e+00	-3.847305e-01	2.817804e-01	
2  697.791	6.993257e+01	2.274157e+00	1.154147e-01	1.397570e+00	-2.292523e+00	-4.081075e-01	2.824955e-01	
6  670.677	7.020623e+01	2.253735e+00	1.166758e-01	1.230720e+00	-2.630812e+00	-5.252364e-01	2.824419e-01	
6  656.389	7.046055e+01	2.277078e+00	1.189084e-01	1.856121e+00	-2.787877e+00	-5.482398e-01	2.853738e-01	
2  636.849	7.112507e+01	2.309276e+00	1.232715e-01	1.815166e+00	-2.814131e+00	-6.071705e-01	2.893274e-01	
8  605.55	7.188006e+01	2.307318e+00	1.209296e-01	2.242741e+00	-2.923702e+00	-6.159996e-01	2.787110e-01	
10  604.722	7.194225e+01	2.312274e+00	1.204157e-01	2.543450e+00	-2.991845e+00	-5.682925e-01	2.773321e-01	
2  599.85	7.201525e+01	2.322979e+00	1.189029e-01	2.303165e+00	-3.123681e+00	-6.102165e-01	2.740596e-01	
7  599.131	7.220009e+01	2.327746e+00	1.203979e-01	1.918415e+00	-2.771492e+00	-6.290632e-01	2.756175e-01	
