1  13589.2	2.225396e+00	1.201111e-01	2.254875e+00	9.692051e-01	7.688816e-02	-9.563707e-01	3.178831e-02	-8.593376e-01	6.851299e-01	1.019762e+01	6.724128e+01	7.265066e-01	
1  11520	2.222407e+00	1.191498e-01	2.304335e+00	9.674847e-01	7.144649e-02	-9.885647e-01	4.378576e-02	-8.731874e-01	6.811266e-01	9.655746e+00	6.658484e+01	7.365756e-01	
2  10946.9	2.219917e+00	1.201393e-01	2.249904e+00	9.736563e-01	6.796420e-02	-9.716735e-01	3.029921e-02	-9.140209e-01	6.722435e-01	9.332870e+00	6.590000e+01	7.361363e-01	
5  10333.1	2.225802e+00	1.209582e-01	2.246211e+00	9.783856e-01	8.219930e-02	-1.014036e+00	5.994852e-02	-9.641290e-01	6.686388e-01	1.061771e+01	6.574236e+01	7.503535e-01	
5  10219.9	2.244200e+00	1.220547e-01	2.329260e+00	9.859065e-01	6.863241e-02	-1.063288e+00	8.125167e-02	-9.837554e-01	6.758389e-01	9.329361e+00	6.676494e+01	7.804690e-01	
2  9631.45	2.255790e+00	1.208754e-01	2.366525e+00	9.824817e-01	7.596218e-02	-1.054817e+00	7.595980e-02	-9.925552e-01	6.715305e-01	9.945633e+00	6.608113e+01	7.784826e-01	
2  9621.05	2.241996e+00	1.186487e-01	2.416904e+00	9.843360e-01	8.172355e-02	-1.044659e+00	5.190676e-02	-1.003372e+00	6.718063e-01	1.044363e+01	6.556170e+01	7.789269e-01	
1  9609.45	2.235998e+00	1.168123e-01	2.427406e+00	9.876373e-01	8.538379e-02	-1.024380e+00	5.730507e-02	-1.044614e+00	6.771111e-01	1.073703e+01	6.565227e+01	7.735105e-01	
1  8048.68	2.232755e+00	1.163368e-01	2.386656e+00	9.877495e-01	1.091843e-01	-1.003717e+00	7.118833e-02	-1.016311e+00	6.665599e-01	1.273605e+01	6.448718e+01	7.562209e-01	
3  8010.14	2.258327e+00	1.156567e-01	2.382546e+00	9.851103e-01	1.066078e-01	-1.025200e+00	3.241103e-02	-9.993823e-01	6.769201e-01	1.241739e+01	6.541266e+01	7.567066e-01	
1  7328.23	2.244034e+00	1.154049e-01	2.360713e+00	9.913848e-01	9.841399e-02	-1.063119e+00	-2.160169e-02	-1.006935e+00	6.758279e-01	1.176181e+01	6.520909e+01	7.656131e-01	
5  7300.5	2.242676e+00	1.179532e-01	2.377716e+00	9.859961e-01	9.660249e-02	-1.080010e+00	-5.271235e-02	-1.016564e+00	6.667314e-01	1.166635e+01	6.490159e+01	7.838358e-01	
3  6738.62	2.251133e+00	1.171435e-01	2.385088e+00	9.813546e-01	1.029419e-01	-1.053545e+00	-7.971007e-02	-1.051432e+00	6.557084e-01	1.212399e+01	6.368906e+01	7.777655e-01	
3  6738.25	2.232234e+00	1.151958e-01	2.394955e+00	9.871747e-01	1.066350e-01	-1.063217e+00	-9.345930e-02	-1.059145e+00	6.668959e-01	1.243423e+01	6.425249e+01	7.775541e-01	
4  6417.63	2.227566e+00	1.139019e-01	2.359241e+00	9.788838e-01	1.019626e-01	-1.067968e+00	-1.453843e-01	-1.017072e+00	6.565425e-01	1.202151e+01	6.296748e+01	7.629692e-01	
19  6373.53	2.235086e+00	1.138781e-01	2.366497e+00	9.754039e-01	1.047423e-01	-1.071263e+00	-7.887787e-02	-1.084879e+00	6.613401e-01	1.221805e+01	6.342389e+01	7.644798e-01	
5  6351.24	2.236012e+00	1.142513e-01	2.315045e+00	9.674355e-01	1.064018e-01	-1.070209e+00	-1.009984e-01	-1.110035e+00	6.626359e-01	1.235281e+01	6.363472e+01	7.588442e-01	
25  6084.03	2.242243e+00	1.133965e-01	2.319345e+00	9.689348e-01	1.089859e-01	-1.113320e+00	-1.705788e-01	-1.116135e+00	6.624652e-01	1.249039e+01	6.343382e+01	7.660739e-01	
78  6060.76	2.244874e+00	1.144718e-01	2.313779e+00	9.739498e-01	1.092794e-01	-1.154005e+00	-1.520748e-01	-1.142972e+00	6.608789e-01	1.252548e+01	6.354141e+01	7.774993e-01	
31  6061.06	2.243571e+00	1.126309e-01	2.298314e+00	9.765992e-01	1.032599e-01	-1.170887e+00	-1.437728e-01	-1.113569e+00	6.722204e-01	1.199905e+01	6.419232e+01	7.687808e-01	
18  6055.57	2.256922e+00	1.098495e-01	2.293682e+00	9.776604e-01	1.067237e-01	-1.159940e+00	-1.311484e-01	-1.148202e+00	6.843528e-01	1.215067e+01	6.476996e+01	7.554682e-01	
22  6054.35	2.254060e+00	1.113874e-01	2.243895e+00	9.769912e-01	9.429747e-02	-1.179068e+00	-1.305375e-01	-1.156478e+00	6.790910e-01	1.118765e+01	6.460182e+01	7.570077e-01	
62  6039.06	2.243758e+00	1.118064e-01	2.291196e+00	9.780206e-01	1.046842e-01	-1.252552e+00	-9.268809e-02	-1.164515e+00	6.875921e-01	1.207767e+01	6.555207e+01	7.777410e-01	
4  6028.27	2.247702e+00	1.116774e-01	2.273902e+00	9.814738e-01	1.039681e-01	-1.214083e+00	-1.214817e-01	-1.165412e+00	6.867756e-01	1.200748e+01	6.544473e+01	7.711906e-01	
149  6024.61	2.247156e+00	1.109181e-01	2.305909e+00	9.818337e-01	1.102025e-01	-1.225770e+00	-9.943686e-02	-1.168957e+00	6.920052e-01	1.248618e+01	6.580963e+01	7.743905e-01	
12  6021.87	2.277168e+00	1.110903e-01	2.315817e+00	9.827404e-01	1.125886e-01	-1.216394e+00	-1.285081e-01	-1.184970e+00	6.913446e-01	1.256900e+01	6.585546e+01	7.764813e-01	
21  6019.11	2.276516e+00	1.120026e-01	2.301532e+00	9.800030e-01	1.105176e-01	-1.268516e+00	-1.406451e-01	-1.197859e+00	6.974134e-01	1.242862e+01	6.673722e+01	7.873799e-01	
90  6017.65	2.279845e+00	1.109092e-01	2.309278e+00	9.777854e-01	1.110717e-01	-1.305704e+00	-1.478499e-01	-1.149319e+00	7.092376e-01	1.243423e+01	6.781239e+01	7.871799e-01	
6  6014.16	2.285890e+00	1.124576e-01	2.345569e+00	9.784650e-01	1.136624e-01	-1.334046e+00	-1.765669e-01	-1.154234e+00	7.081029e-01	1.265463e+01	6.808642e+01	8.065708e-01	
170  6010.05	2.259993e+00	1.129450e-01	2.334473e+00	9.766487e-01	1.136968e-01	-1.335945e+00	-1.849968e-01	-1.163803e+00	7.065614e-01	1.276132e+01	6.796464e+01	8.090841e-01	
56  6008.63	2.256512e+00	1.126491e-01	2.352599e+00	9.833138e-01	1.170357e-01	-1.292839e+00	-1.889797e-01	-1.192050e+00	7.031284e-01	1.302524e+01	6.748804e+01	8.082002e-01	
291  6009.34	2.245626e+00	1.102552e-01	2.363154e+00	9.885518e-01	1.252603e-01	-1.261107e+00	-1.825444e-01	-1.217473e+00	7.064099e-01	1.361905e+01	6.723317e+01	7.969797e-01	
