8  16196.3	2.980336e+00	6.672391e-02	2.238223e+00	9.676301e-01	8.123871e-02	-7.311248e-01	-2.693015e-01	7.834219e-01	7.871506e+00	6.676022e+01	3.840040e-01	
1  9875.23	1.686915e+00	1.292827e-01	2.183774e+00	9.620410e-01	7.987368e-02	-8.866591e-01	-1.620836e+00	6.661392e-01	1.243704e+01	6.616365e+01	9.147886e-01	
5  6233.54	2.084362e+00	1.165366e-01	2.145360e+00	9.563677e-01	5.951273e-02	-8.313330e-01	-1.102810e+00	6.861764e-01	8.550949e+00	6.616363e+01	7.928311e-01	
23  6139.22	2.228209e+00	1.087395e-01	2.111190e+00	9.584842e-01	6.635658e-02	-9.711468e-01	-5.795010e-01	7.041346e-01	8.746780e+00	6.654637e+01	7.242680e-01	
11  6138.31	2.226637e+00	1.166965e-01	2.122074e+00	9.607567e-01	5.235782e-02	-8.541493e-01	-1.129884e+00	6.812989e-01	7.461594e+00	6.603248e+01	7.855027e-01	
37  6038.39	2.130561e+00	1.231895e-01	2.079327e+00	9.533358e-01	4.622010e-02	-1.022278e+00	-1.517518e+00	6.919258e-01	7.088882e+00	6.848554e+01	8.511595e-01	
209  6033.04	2.168814e+00	1.202622e-01	2.098862e+00	9.586836e-01	4.754450e-02	-1.192595e+00	-1.109044e+00	7.158027e-01	7.116959e+00	7.067377e+01	8.500439e-01	
2434  6031.77	2.190120e+00	1.274026e-01	2.046078e+00	9.578999e-01	3.309188e-02	-1.304889e+00	-1.707374e+00	7.193768e-01	5.479416e+00	7.294131e+01	9.030703e-01	
3017  6030.36	2.217685e+00	1.196794e-01	2.064150e+00	9.592689e-01	4.119361e-02	-1.304605e+00	-1.070372e+00	7.367886e-01	6.308365e+00	7.341283e+01	8.541956e-01	
4828  6030.39	2.171880e+00	1.239088e-01	2.052545e+00	9.572323e-01	3.376611e-02	-1.224386e+00	-1.691998e+00	7.242775e-01	5.555923e+00	7.267512e+01	8.829109e-01	
