3  5990.6	2.232125e+00	1.179632e-01	2.205203e+00	9.729087e-01	8.167476e-02	-1.184772e+00	-2.195776e+00	-2.273340e+00	-3.316631e+00	7.102885e-01	1.024850e+01	6.958602e+01	8.442990e-01	2.910418e-01	
4  5989.72	2.236138e+00	1.175647e-01	2.184305e+00	9.730355e-01	7.626772e-02	-1.408365e+00	-1.828136e-01	-3.079072e+00	-4.606321e+00	7.102791e-01	9.738571e+00	6.949594e+01	8.360315e-01	2.910548e-01	
3  5988.12	2.238366e+00	1.181334e-01	2.219529e+00	9.711439e-01	8.304277e-02	-1.406710e+00	2.056130e-01	-3.227636e+00	-5.200423e+00	7.059470e-01	1.035379e+01	6.912763e+01	8.419307e-01	2.954011e-01	
7  5990.64	2.231716e+00	1.175993e-01	2.250353e+00	9.719370e-01	9.009007e-02	-1.367245e+00	3.880473e-01	-3.182177e+00	-5.999084e+00	7.068487e-01	1.097708e+01	6.908576e+01	8.444267e-01	2.945010e-01	
2  5989.52	2.224306e+00	1.186204e-01	2.183828e+00	9.720968e-01	7.483651e-02	-1.068543e+00	-1.213806e+00	-2.923560e+00	-5.147622e+00	6.948558e-01	9.659958e+00	6.794330e+01	8.314023e-01	3.065397e-01	
4  5990.49	2.233445e+00	1.195908e-01	2.185549e+00	9.699316e-01	7.356481e-02	-9.313600e-01	-1.969068e+00	-2.269797e+00	-5.394383e+00	6.871342e-01	9.536423e+00	6.735205e+01	8.316540e-01	3.142859e-01	
1  5990.54	2.246636e+00	1.178258e-01	2.295853e+00	9.733722e-01	1.006639e-01	-9.483460e-01	-1.830310e+00	-2.207076e+00	-4.637516e+00	6.904102e-01	1.183060e+01	6.731678e+01	8.387447e-01	3.110114e-01	
2  5992.84	2.247839e+00	1.174156e-01	2.252035e+00	9.758524e-01	9.130391e-02	-1.004301e+00	-1.015253e+00	-3.242384e+00	-4.908533e+00	6.932427e-01	1.102481e+01	6.753082e+01	8.307254e-01	3.081699e-01	
2  5991.25	2.257057e+00	1.177245e-01	2.187205e+00	9.746479e-01	7.626804e-02	-1.139119e+00	-2.909173e-01	-3.426897e+00	-4.908614e+00	6.934123e-01	9.683823e+00	6.764626e+01	8.187102e-01	3.079955e-01	
1  5989.68	2.252097e+00	1.188873e-01	2.231095e+00	9.728112e-01	8.504953e-02	-1.168393e+00	-3.153960e-01	-4.307704e+00	-4.846162e+00	6.985371e-01	1.050400e+01	6.848895e+01	8.430117e-01	3.028362e-01	
1  5990.25	2.231499e+00	1.197262e-01	2.174544e+00	9.709332e-01	7.088878e-02	-1.200859e+00	5.976881e-02	-5.406530e+00	-4.385336e+00	6.952398e-01	9.295670e+00	6.826970e+01	8.379606e-01	3.061424e-01	
2  5991.04	2.220224e+00	1.210330e-01	2.132675e+00	9.686035e-01	6.004277e-02	-1.159202e+00	-1.979583e-01	-5.479409e+00	-4.411229e+00	6.878888e-01	8.298264e+00	6.774391e+01	8.354199e-01	3.135149e-01	
1  5991.49	2.240165e+00	1.208240e-01	2.178404e+00	9.689638e-01	7.039427e-02	-1.074604e+00	-3.554184e-01	-6.311993e+00	-4.144343e+00	6.911717e-01	9.245132e+00	6.810074e+01	8.441804e-01	3.102173e-01	
3  5992.28	2.246004e+00	1.205435e-01	2.132022e+00	9.675199e-01	5.946608e-02	-1.220725e+00	6.754275e-01	-6.413843e+00	-5.374126e+00	6.960532e-01	8.169113e+00	6.859217e+01	8.356418e-01	3.053160e-01	
2  5993.32	2.249433e+00	1.196570e-01	2.175147e+00	9.688246e-01	6.989094e-02	-1.222173e+00	5.550571e-02	-4.830358e+00	-5.595211e+00	7.020788e-01	9.151077e+00	6.907561e+01	8.416529e-01	2.992714e-01	
11  5989.34	2.247028e+00	1.186328e-01	2.224979e+00	9.685098e-01	8.341229e-02	-1.352794e+00	2.776352e-01	-4.588878e+00	-5.101047e+00	7.076056e-01	1.036783e+01	6.946782e+01	8.492840e-01	2.937293e-01	
1  5989.13	2.230600e+00	1.199220e-01	2.206179e+00	9.672384e-01	7.836625e-02	-1.036677e+00	-1.870093e+00	-4.261260e+00	-3.158936e+00	6.959101e-01	9.993011e+00	6.838984e+01	8.472595e-01	3.054672e-01	
5  5988.85	2.248726e+00	1.181064e-01	2.213897e+00	9.731273e-01	8.310379e-02	-1.143673e+00	-6.873021e-01	-5.469154e+00	-2.393026e+00	6.998764e-01	1.032993e+01	6.844359e+01	8.350094e-01	3.014988e-01	
8  5988.95	2.254588e+00	1.179213e-01	2.219046e+00	9.751177e-01	8.481924e-02	-1.278468e+00	-1.342709e-01	-5.263421e+00	-2.271625e+00	7.014008e-01	1.046329e+01	6.858721e+01	8.335444e-01	2.999686e-01	
5  5989.67	2.247950e+00	1.169542e-01	2.200773e+00	9.767376e-01	8.192612e-02	-1.100974e+00	-1.508219e+00	-4.570351e+00	-1.380951e+00	7.035559e-01	1.021341e+01	6.858236e+01	8.236792e-01	2.978137e-01	
8  5988.6	2.253091e+00	1.177307e-01	2.227697e+00	9.725942e-01	8.573095e-02	-1.068635e+00	-1.845133e+00	-4.225557e+00	-1.386426e+00	7.008024e-01	1.055173e+01	6.846842e+01	8.305505e-01	3.005718e-01	
1  5989.65	2.237545e+00	1.196398e-01	2.214760e+00	9.723723e-01	8.247719e-02	-1.200334e+00	-7.119561e-01	-4.742367e+00	-3.303262e+00	6.967524e-01	1.033975e+01	6.843351e+01	8.467852e-01	3.046231e-01	
3  5989.6	2.251678e+00	1.170576e-01	2.273038e+00	9.776235e-01	9.802330e-02	-1.360926e+00	6.948685e-01	-4.710221e+00	-4.046239e+00	7.041853e-01	1.157510e+01	6.868990e+01	8.405387e-01	2.971800e-01	
3  5992.04	2.250994e+00	1.162661e-01	2.230565e+00	9.802982e-01	8.840086e-02	-1.366766e+00	3.690383e-01	-5.091687e+00	-2.654674e+00	7.091998e-01	1.074686e+01	6.908122e+01	8.304921e-01	2.921501e-01	
2  5993.74	2.240491e+00	1.153945e-01	2.265472e+00	9.794600e-01	9.749670e-02	-1.136421e+00	-1.059879e+00	-4.172382e+00	-2.931462e+00	7.125306e-01	1.152457e+01	6.923535e+01	8.355209e-01	2.888133e-01	
3  5994.46	2.250950e+00	1.148856e-01	2.322876e+00	9.818148e-01	1.108488e-01	-1.333171e+00	2.483045e-01	-4.071958e+00	-4.237687e+00	7.166593e-01	1.256339e+01	6.963558e+01	8.449526e-01	2.846691e-01	
1  5993.29	2.239661e+00	1.149213e-01	2.297132e+00	9.819558e-01	1.057469e-01	-1.563593e+00	2.313074e+00	-6.370762e+00	-4.052709e+00	7.164042e-01	1.219418e+01	6.958468e+01	8.409716e-01	2.849263e-01	
1  5991.23	2.235527e+00	1.173061e-01	2.264530e+00	9.785232e-01	9.623775e-02	-1.437621e+00	1.698948e+00	-6.592063e+00	-4.376262e+00	7.080000e-01	1.148105e+01	6.915869e+01	8.485990e-01	2.933469e-01	
3  5991.09	2.232944e+00	1.180158e-01	2.264442e+00	9.770554e-01	9.480743e-02	-1.654229e+00	3.088025e+00	-7.231718e+00	-5.241150e+00	7.077001e-01	1.138559e+01	6.929222e+01	8.544780e-01	2.936416e-01	
2  5992.93	2.201259e+00	1.184030e-01	2.272039e+00	9.754318e-01	9.646728e-02	-1.448495e+00	1.821981e+00	-6.742414e+00	-5.331915e+00	7.046059e-01	1.163968e+01	6.894562e+01	8.603461e-01	2.967493e-01	
2  5992.34	2.209752e+00	1.191479e-01	2.216036e+00	9.721969e-01	8.190546e-02	-1.602839e+00	2.202363e+00	-7.184504e+00	-4.658947e+00	7.073442e-01	1.035519e+01	6.947181e+01	8.574305e-01	2.939906e-01	
1  5990.59	2.205468e+00	1.207615e-01	2.112553e+00	9.682205e-01	5.650402e-02	-1.409722e+00	1.355827e+00	-6.594492e+00	-5.458085e+00	6.966708e-01	7.969772e+00	6.861698e+01	8.398451e-01	3.046974e-01	
2  5990.62	2.232664e+00	1.190851e-01	2.286593e+00	9.700231e-01	9.697321e-02	-1.482731e+00	2.566038e+00	-6.580169e+00	-6.962751e+00	7.007450e-01	1.159616e+01	6.874200e+01	8.592094e-01	3.006182e-01	
