1.000000000000000021e-02,3.706145600891112935e+01,1.890086685353314477e+00
6.000000000000000472e-02,3.753266237640380609e+01,1.666482804270969842e+00
1.100000000000000006e-01,3.800071269607543911e+01,1.448501717426880164e+00
1.600000000000000311e-01,3.846302294158935808e+01,1.238329335915685947e+00
2.100000000000000200e-01,3.891700030517578313e+01,1.038316909601603166e+00
2.600000000000000089e-01,3.936013147735595652e+01,8.511255526364587265e-01
3.100000000000000533e-01,3.979007185363769850e+01,6.801158979044712449e-01
3.600000000000000422e-01,4.020472406005859511e+01,5.302804702922300217e-01
4.100000000000000311e-01,4.060230391311645803e+01,4.101751491141565342e-01
4.600000000000000200e-01,4.098138753890991381e+01,3.340077570756442848e-01
5.100000000000000089e-01,4.134093373870849319e+01,3.155699351395416241e-01
5.600000000000000533e-01,4.168028922653198265e+01,3.489762279879340956e-01
6.100000000000000977e-01,4.199917053222656449e+01,4.110620539936634676e-01
6.600000000000000311e-01,4.229763418197632063e+01,4.831559973552778109e-01
7.100000000000000755e-01,4.257603277969360533e+01,5.558502360220648475e-01
7.600000000000000089e-01,4.283496849822998342e+01,6.250905444344638795e-01
8.100000000000000533e-01,4.307523974609375017e+01,6.893171587108838372e-01
8.600000000000000977e-01,4.329779217910766675e+01,7.481206074425691410e-01
9.100000000000000311e-01,4.350367251968383897e+01,8.016329323689342923e-01
9.600000000000000755e-01,4.369398572540283254e+01,8.502371135937751845e-01
1.010000000000000009e+00,4.386986294174194256e+01,8.944211371869275062e-01
1.060000000000000053e+00,4.403242850875854231e+01,9.346986186414000253e-01
1.110000000000000098e+00,4.418278054428100887e+01,9.715686694823175706e-01
1.160000000000000142e+00,4.432197167587280262e+01,1.005494683621092955e+00
1.210000000000000187e+00,4.445099943923950292e+01,1.036894782824042238e+00
1.260000000000000009e+00,4.457079634857177552e+01,1.066138857205710222e+00
1.310000000000000053e+00,4.468222831726074418e+01,1.093551267678227967e+00
1.360000000000000098e+00,4.478609120178222724e+01,1.119413198639588325e+00
