1  28137.6	2.216489e+00	1.202570e-01	2.200074e+00	9.632648e-01	7.790724e-02	-9.446795e-01	-2.475868e-02	-6.992591e-03	-8.725852e-01	6.790705e-01	1.067386e+01	6.661677e+01	6.131674e-01	
1  27607.3	2.229355e+00	1.197848e-01	2.202745e+00	9.667853e-01	7.941417e-02	-1.004667e+00	-3.146634e-02	-2.270627e-02	-8.384919e-01	6.882457e-01	1.076370e+01	6.750838e+01	6.180349e-01	
2  27592.1	2.218217e+00	1.187354e-01	2.261356e+00	9.646311e-01	6.597546e-02	-9.611780e-01	-1.401802e-03	-5.917477e-02	-7.787160e-01	6.911788e-01	9.575729e+00	6.755057e+01	6.047154e-01	
4  25343.5	2.200945e+00	1.184087e-01	2.283660e+00	9.659274e-01	4.935917e-02	-1.005705e+00	-1.459861e-02	-1.070816e-01	-7.556631e-01	6.917486e-01	7.868698e+00	6.749306e+01	6.161957e-01	
3  24830.2	2.197153e+00	1.184026e-01	2.227580e+00	9.662732e-01	3.028883e-02	-1.034153e+00	2.487630e-02	-1.065913e-01	-7.297547e-01	6.877189e-01	5.605759e+00	6.704566e+01	6.075648e-01	
1  23222.5	2.224447e+00	1.189418e-01	2.164531e+00	9.651237e-01	2.070867e-02	-1.054184e+00	4.283949e-02	-8.667252e-02	-7.214037e-01	6.777365e-01	4.210197e+00	6.618975e+01	6.005849e-01	
5  21957.8	2.232920e+00	1.181490e-01	2.188236e+00	9.653408e-01	2.042953e-02	-1.079988e+00	2.047544e-02	-7.766568e-02	-7.495457e-01	6.801448e-01	4.132988e+00	6.627165e+01	6.104372e-01	
4  20761.7	2.246747e+00	1.194987e-01	2.168284e+00	9.628330e-01	1.499167e-02	-1.088530e+00	4.259698e-02	-8.608496e-02	-7.773443e-01	6.711919e-01	3.246132e+00	6.570845e+01	6.176143e-01	
5  19314.6	2.249303e+00	1.192758e-01	2.202455e+00	9.629739e-01	1.417090e-02	-1.134033e+00	4.003261e-02	-1.424501e-01	-7.926744e-01	6.706582e-01	3.077324e+00	6.560953e+01	6.354517e-01	
2  17333.2	2.244356e+00	1.198954e-01	2.134397e+00	9.683656e-01	2.156226e-02	-1.182500e+00	1.583382e-02	-1.427703e-01	-7.945768e-01	6.717600e-01	4.229851e+00	6.585156e+01	6.391832e-01	
2  16074.3	2.260063e+00	1.213527e-01	2.146976e+00	9.680246e-01	1.441279e-02	-1.171731e+00	1.676287e-02	-1.403776e-01	-8.406523e-01	6.569297e-01	3.085747e+00	6.477678e+01	6.508231e-01	
1  15462.7	2.262334e+00	1.203220e-01	2.070097e+00	9.671404e-01	3.343450e-02	-1.172918e+00	-4.765105e-02	-1.073347e-01	-7.640183e-01	6.482964e-01	5.760880e+00	6.375241e+01	6.276954e-01	
2  14358.4	2.271468e+00	1.197540e-01	2.144587e+00	9.678206e-01	3.114495e-02	-1.152059e+00	-2.197707e-03	-8.786669e-02	-7.492838e-01	6.375430e-01	5.459763e+00	6.269478e+01	6.278091e-01	
1  13721.2	2.268599e+00	1.193439e-01	2.135948e+00	9.662227e-01	4.516747e-02	-1.154696e+00	2.807734e-02	-9.165712e-02	-7.557601e-01	6.297228e-01	7.098709e+00	6.193360e+01	6.250166e-01	
2  12898.7	2.269014e+00	1.176446e-01	2.125701e+00	9.630303e-01	3.832319e-02	-1.182697e+00	5.121176e-02	-1.159995e-01	-7.183092e-01	6.321913e-01	6.296432e+00	6.176913e+01	6.156685e-01	
1  11731.7	2.283397e+00	1.145454e-01	2.162446e+00	9.661411e-01	2.988469e-02	-1.170305e+00	6.358454e-02	-1.043769e-01	-7.600539e-01	6.331898e-01	5.201462e+00	6.119841e+01	6.112952e-01	
2  11130.8	2.292120e+00	1.145933e-01	2.161898e+00	9.640039e-01	4.104708e-02	-1.206946e+00	6.024137e-03	-7.160069e-02	-7.752600e-01	6.414131e-01	6.500687e+00	6.192657e+01	6.192459e-01	
5  10928.2	2.287346e+00	1.138298e-01	2.189456e+00	9.627735e-01	4.224443e-02	-1.246051e+00	5.307210e-02	-2.431784e-02	-7.979484e-01	6.453460e-01	6.627731e+00	6.208504e+01	6.235894e-01	
2  10648.1	2.292758e+00	1.128276e-01	2.170758e+00	9.578431e-01	4.085323e-02	-1.230414e+00	1.139213e-01	-5.079040e-02	-8.261896e-01	6.440337e-01	6.448044e+00	6.175522e+01	6.148203e-01	
1  9909.78	2.284688e+00	1.119317e-01	2.133944e+00	9.587253e-01	4.393354e-02	-1.220842e+00	1.157021e-01	-4.102777e-02	-7.978927e-01	6.343527e-01	6.788467e+00	6.071265e+01	6.016784e-01	
2  9143.46	2.293946e+00	1.110551e-01	2.162634e+00	9.602357e-01	5.344393e-02	-1.210551e+00	1.634041e-01	-5.863883e-02	-7.712293e-01	6.218890e-01	7.752884e+00	5.952974e+01	5.963124e-01	
2  8907.35	2.285782e+00	1.080920e-01	2.249761e+00	9.637667e-01	5.795973e-02	-1.196207e+00	1.550195e-01	-5.337161e-02	-8.059046e-01	6.229894e-01	8.150864e+00	5.893532e+01	5.995373e-01	
3  8858.71	2.294389e+00	1.078771e-01	2.226140e+00	9.667596e-01	5.508127e-02	-1.208109e+00	1.688851e-01	-5.102044e-02	-8.172935e-01	6.294577e-01	7.846939e+00	5.941824e+01	5.976118e-01	
1  8431.84	2.296041e+00	1.067829e-01	2.209872e+00	9.636003e-01	5.437050e-02	-1.204115e+00	1.865310e-01	-1.896845e-02	-7.778209e-01	6.186105e-01	7.762711e+00	5.832546e+01	5.829233e-01	
2  7795.91	2.304866e+00	1.061314e-01	2.196909e+00	9.616157e-01	5.884078e-02	-1.192377e+00	1.228566e-01	-3.104896e-02	-7.709084e-01	6.155704e-01	8.156479e+00	5.796813e+01	5.795442e-01	
5  7043.97	2.299875e+00	1.043561e-01	2.160046e+00	9.639455e-01	6.556126e-02	-1.234412e+00	1.408732e-01	-9.462294e-03	-7.560971e-01	6.149406e-01	8.755905e+00	5.751007e+01	5.705032e-01	
